NPM1	RUNX1	KDM6A	FLT3	TP53	U2AF1	KRAS	PRPF4B	PTPN11	NRAS
TCGA-AB-3007-03	13.1916761463524	13.9952725085353	10.1789137846696	12.5083890349228	11.1344263202209	11.5407092626714	10.1466959480307	12.12153351734	11.2531383696913	10.6065902803705
TCGA-AB-2990-03	13.6472713541639	14.0280804757691	10.0992829731527	13.4650629551672	10.9898344086301	11.9341380718052	10.5238009806305	12.1532737255857	11.048528424101	10.6541125538796
TCGA-AB-2915-03	12.6063464718819	13.4551964572961	11.0603894615259	12.2399720422524	10.981879332629	11.0719708363509	10.8716546303895	11.961787899453	11.3290193492852	10.6919340923555
TCGA-AB-2927-03	12.6106714828628	14.4891326872305	10.7431872506148	13.5486989539166	10.8946887939427	11.7659296764807	10.6598820238099	11.9413286329865	11.1494228576759	10.3094038193592
TCGA-AB-3000-03	13.2636051542463	11.88463042888	9.95539766809824	13.40446279267	11.5610591581753	10.9959961834963	10.2341559145485	11.9919365612875	11.3799159199286	10.8153901810232
TCGA-AB-2921-03	13.0197777592833	13.6409166815789	10.4584969454711	12.9436782533562	11.0767900157036	10.9144423903146	10.6352802580614	11.7664115088613	11.1445874445316	10.7723493004684
TCGA-AB-2898-03	12.477585633506	13.5542751345176	11.2581473560406	10.6481232261553	10.5818609440205	11.305381034937	10.7016554393047	11.9749853883004	11.2519927669117	10.4888110144958
TCGA-AB-2950-03	13.3710980914715	13.8922419423797	6.68374837916635	12.8270161553	11.1555472450777	11.461925641714	11.0067695496603	12.4655060021684	11.9131503895289	11.5043147009242
TCGA-AB-2983-03	13.16709828684	14.6610237640492	10.3343473737853	14.0316586569087	11.2757013660131	11.2936487273496	10.4631773490765	12.2175277324811	11.563800065813	10.8102588830381
TCGA-AB-2840-03	12.5251456987735	13.9587458260866	9.83108662603519	13.0701896889352	10.4230642117729	12.0247962236965	10.4252159032994	12.2620611272663	10.7949350943785	10.5398659267888
